scenario,block,lane,samples,p50_ms,p95_ms
pending,0,baseline,500,0.140111,0.242570
pending,0,candidate,500,0.136847,0.246318
pending,1,baseline,500,0.148144,0.253880
pending,1,candidate,500,0.142878,0.254515
pending,2,baseline,500,0.130957,0.267216
pending,2,candidate,500,0.128775,0.258200
pending,3,baseline,500,0.115712,0.198908
pending,3,candidate,500,0.116072,0.200485
pending,4,baseline,500,0.123138,0.206154
pending,4,candidate,500,0.123344,0.216251
pending,5,baseline,500,0.111770,0.213772
pending,5,candidate,500,0.112063,0.221611
pending,6,baseline,500,0.107410,0.177002
pending,6,candidate,500,0.107041,0.170979
pending,7,baseline,500,0.139652,0.320648
pending,7,candidate,500,0.143436,0.323092
pending,8,baseline,500,0.111054,0.239564
pending,8,candidate,500,0.111026,0.221595
pending,9,baseline,500,0.112982,0.184230
pending,9,candidate,500,0.113586,0.187558
pending,10,baseline,500,0.124030,0.302562
pending,10,candidate,500,0.121298,0.277913
pending,11,baseline,500,0.105845,0.170877
pending,11,candidate,500,0.103133,0.182086
pending,12,baseline,500,0.134754,0.221180
pending,12,candidate,500,0.135595,0.221793
pending,13,baseline,500,0.117050,0.194298
pending,13,candidate,500,0.116147,0.203619
pending,14,baseline,500,0.124665,0.202856
pending,14,candidate,500,0.126685,0.214615
pending,15,baseline,500,0.120967,0.192041
pending,15,candidate,500,0.123026,0.200192
pending,16,baseline,500,0.121728,0.202258
pending,16,candidate,500,0.122149,0.215738
pending,17,baseline,500,0.123251,0.205086
pending,17,candidate,500,0.124694,0.196491
pending,18,baseline,500,0.120782,0.191125
pending,18,candidate,500,0.121518,0.192634
pending,19,baseline,500,0.116307,0.199634
pending,19,candidate,500,0.116663,0.211842
completed,0,baseline,500,0.140736,0.245962
completed,0,candidate,500,0.140589,0.244076
completed,1,baseline,500,0.185307,0.334098
completed,1,candidate,500,0.182267,0.355838
completed,2,baseline,500,0.132399,0.251971
completed,2,candidate,500,0.132729,0.239535
completed,3,baseline,500,0.135637,0.228001
completed,3,candidate,500,0.138649,0.229091
completed,4,baseline,500,0.130275,0.222155
completed,4,candidate,500,0.132191,0.217837
completed,5,baseline,500,0.128976,0.222284
completed,5,candidate,500,0.129850,0.221901
completed,6,baseline,500,0.132469,0.225079
completed,6,candidate,500,0.132607,0.219679
completed,7,baseline,500,0.135098,0.214413
completed,7,candidate,500,0.136936,0.216324
completed,8,baseline,500,0.159110,0.281087
completed,8,candidate,500,0.159083,0.281242
completed,9,baseline,500,0.131308,0.216786
completed,9,candidate,500,0.133352,0.212615
completed,10,baseline,500,0.134890,0.255180
completed,10,candidate,500,0.135039,0.247752
completed,11,baseline,500,0.127413,0.226707
completed,11,candidate,500,0.130168,0.228324
completed,12,baseline,500,0.150649,0.295126
completed,12,candidate,500,0.149731,0.306575
completed,13,baseline,500,0.142750,0.276794
completed,13,candidate,500,0.139127,0.279796
completed,14,baseline,500,0.140064,0.228506
completed,14,candidate,500,0.137974,0.236353
completed,15,baseline,500,0.145385,0.229720
completed,15,candidate,500,0.140560,0.233248
completed,16,baseline,500,0.140345,0.217581
completed,16,candidate,500,0.140119,0.217164
completed,17,baseline,500,0.158355,0.283050
completed,17,candidate,500,0.155058,0.299912
completed,18,baseline,500,0.126011,0.251389
completed,18,candidate,500,0.127307,0.245504
completed,19,baseline,500,0.132966,0.275283
completed,19,candidate,500,0.132812,0.274499
control_legacy_legacy,0,baseline,500,0.120547,0.203505
control_legacy_legacy,0,candidate,500,0.122594,0.220433
control_legacy_legacy,1,baseline,500,0.117943,0.215360
control_legacy_legacy,1,candidate,500,0.118291,0.210979
control_legacy_legacy,2,baseline,500,0.119069,0.200675
control_legacy_legacy,2,candidate,500,0.120788,0.203172
control_legacy_legacy,3,baseline,500,0.121010,0.198334
control_legacy_legacy,3,candidate,500,0.121497,0.206528
control_legacy_legacy,4,baseline,500,0.131711,0.261430
control_legacy_legacy,4,candidate,500,0.139303,0.288884
control_legacy_legacy,5,baseline,500,0.131934,0.229164
control_legacy_legacy,5,candidate,500,0.130943,0.227954
control_legacy_legacy,6,baseline,500,0.121935,0.205241
control_legacy_legacy,6,candidate,500,0.122260,0.212556
control_legacy_legacy,7,baseline,500,0.115662,0.189262
control_legacy_legacy,7,candidate,500,0.117411,0.189655
