scenario,block,lane,samples,p50_ms,p95_ms
authenticated_20,0,baseline,250,1.515054,2.113106
authenticated_20,0,candidate,250,1.522229,2.097210
authenticated_20,1,baseline,250,1.566005,2.505593
authenticated_20,1,candidate,250,1.595245,2.653495
authenticated_20,2,baseline,250,1.455527,2.179090
authenticated_20,2,candidate,250,1.454837,2.187713
authenticated_20,3,baseline,250,1.287511,1.736276
authenticated_20,3,candidate,250,1.324825,1.830837
authenticated_20,4,baseline,250,1.292863,1.957384
authenticated_20,4,candidate,250,1.265340,1.844625
authenticated_20,5,baseline,250,1.304877,1.717826
authenticated_20,5,candidate,250,1.353643,1.752568
authenticated_20,6,baseline,250,1.309197,1.805342
authenticated_20,6,candidate,250,1.305182,1.833400
authenticated_20,7,baseline,250,1.301674,1.644802
authenticated_20,7,candidate,250,1.293616,1.657827
authenticated_20,8,baseline,250,1.311449,1.691480
authenticated_20,8,candidate,250,1.314935,1.687827
authenticated_20,9,baseline,250,1.314373,1.772342
authenticated_20,9,candidate,250,1.305505,1.825546
authenticated_20,10,baseline,250,1.310592,1.774934
authenticated_20,10,candidate,250,1.313043,1.804574
authenticated_20,11,baseline,250,1.298646,1.817910
authenticated_20,11,candidate,250,1.314887,1.849031
anonymous_20,0,baseline,250,0.750323,0.975889
anonymous_20,0,candidate,250,0.750753,1.000548
anonymous_20,1,baseline,250,0.730379,0.992814
anonymous_20,1,candidate,250,0.738421,0.974210
anonymous_20,2,baseline,250,0.743410,1.205453
anonymous_20,2,candidate,250,0.763306,1.240317
anonymous_20,3,baseline,250,0.765687,1.032112
anonymous_20,3,candidate,250,0.764696,1.066120
anonymous_20,4,baseline,250,0.819889,1.124739
anonymous_20,4,candidate,250,0.834114,1.092035
anonymous_20,5,baseline,250,0.785727,1.123321
anonymous_20,5,candidate,250,0.807889,1.182206
anonymous_20,6,baseline,250,0.867593,1.148188
anonymous_20,6,candidate,250,0.880491,1.203922
anonymous_20,7,baseline,250,0.771179,1.081582
anonymous_20,7,candidate,250,0.780859,1.079331
anonymous_20,8,baseline,250,0.837203,1.085476
anonymous_20,8,candidate,250,0.824799,1.066713
anonymous_20,9,baseline,250,0.820671,1.144900
anonymous_20,9,candidate,250,0.806879,1.188696
anonymous_20,10,baseline,250,0.796809,1.010593
anonymous_20,10,candidate,250,0.804046,1.050290
anonymous_20,11,baseline,250,0.794334,1.092062
anonymous_20,11,candidate,250,0.794896,1.097407
control_legacy_legacy,0,baseline,250,1.204745,1.592632
control_legacy_legacy,0,candidate,250,1.196645,1.567102
control_legacy_legacy,1,baseline,250,1.165601,1.548093
control_legacy_legacy,1,candidate,250,1.161489,1.521463
control_legacy_legacy,2,baseline,250,1.181461,1.592631
control_legacy_legacy,2,candidate,250,1.181587,1.597998
control_legacy_legacy,3,baseline,250,1.216210,1.678723
control_legacy_legacy,3,candidate,250,1.260470,1.689576
control_legacy_legacy,4,baseline,250,1.261242,1.648697
control_legacy_legacy,4,candidate,250,1.290068,1.661127
control_legacy_legacy,5,baseline,250,1.381296,2.310425
control_legacy_legacy,5,candidate,250,1.358897,2.396742
control_legacy_legacy,6,baseline,250,1.317135,2.312053
control_legacy_legacy,6,candidate,250,1.308981,2.158760
control_legacy_legacy,7,baseline,250,1.274011,2.036467
control_legacy_legacy,7,candidate,250,1.276313,1.920595
control_legacy_legacy,8,baseline,250,1.257385,1.633496
control_legacy_legacy,8,candidate,250,1.243572,1.620488
control_legacy_legacy,9,baseline,250,1.356080,2.116742
control_legacy_legacy,9,candidate,250,1.332756,2.169444
control_legacy_legacy,10,baseline,250,1.391898,2.044097
control_legacy_legacy,10,candidate,250,1.342430,2.159416
control_legacy_legacy,11,baseline,250,1.343853,1.982339
control_legacy_legacy,11,candidate,250,1.349544,2.024083
